meter_id,hour,is_weekend,base_median,base_std
1,0,0,1.277,5.26038984882453
1,0,1,1.1804999999999999,0.8832336398145171
1,1,0,0.0,5.06760200577047
1,1,1,0.0,0.5
1,2,0,0.0,5.218167200011201
1,2,1,0.0,0.5
1,3,0,0.0,5.281504658865328
1,3,1,0.0,0.5
1,4,0,0.0,5.214994902812814
1,4,1,0.0,0.5285098509015702
1,5,0,2.39,5.495724907102379
1,5,1,2.757,0.9794480673658336
1,6,0,10.779,5.442648779813377
1,6,1,15.072,1.7476060184816637
1,7,0,25.049,5.999914300482242
1,7,1,31.807000000000002,3.731276492368262
1,8,0,30.78,6.577343017795055
1,8,1,38.6175,4.735209588814417
1,9,0,19.155,5.33480474039883
1,9,1,25.8215,2.22652428592938
1,10,0,12.578,5.962369583691139
1,10,1,15.4495,1.9410737406566163
1,11,0,15.322,5.050110185116576
1,11,1,19.198,2.6270604730699803
1,12,0,17.684,5.555911664819082
1,12,1,22.3595,3.204207951402863
1,13,0,14.375,5.100110219644792
1,13,1,18.5315,2.226644366155793
1,14,0,11.153,5.388827620947142
1,14,1,15.334,1.9654233640617993
1,15,0,12.227,5.211469655258177
1,15,1,15.5405,1.8455634008797062
1,16,0,16.173,5.753667302010277
1,16,1,21.69,2.860446077537558
1,17,0,24.708,5.620129601205245
1,17,1,31.658,2.419611806846988
1,18,0,34.46,5.697296122200462
1,18,1,46.4075,3.1432661754932565
1,19,0,34.447,5.673483696508298
1,19,1,43.4175,6.1256333209990075
1,20,0,28.002,5.838408487305976
1,20,1,36.931,4.530035080346141
1,21,0,17.699,5.428261626976824
1,21,1,23.424,2.5435499855844528
1,22,0,8.194,5.425482882945195
1,22,1,10.643,1.4878855228701793
1,23,0,3.252,5.430635003702085
1,23,1,4.012,0.6800968435941066
2,0,0,2.451,1.083740092867699
2,0,1,3.1775,0.6622398073960822
2,1,0,0.0,0.7416911354492788
2,1,1,0.0,0.7051304371060246
2,2,0,0.0,0.5
2,2,1,0.0,0.5578979857464983
2,3,0,0.0,0.5
2,3,1,0.0,0.89175
2,4,0,0.0,0.5090812312391805
2,4,1,0.0,0.8906331081502267
2,5,0,5.693,1.728000639496702
2,5,1,7.1025,1.3659012516161873
2,6,0,31.966,9.887414926934833
2,6,1,42.2485,3.6407500595115474
2,7,0,64.682,20.323294097208166
2,7,1,85.09049999999999,12.933351779411245
2,8,0,81.502,25.616867484140208
2,8,1,107.616,17.185267499494056
2,9,0,49.368,15.972446344416138
2,9,1,66.348,11.207581560228176
2,10,0,33.888,10.509149637532069
2,10,1,44.608999999999995,4.4326012001983655
2,11,0,39.631,12.337960606488933
2,11,1,52.659,5.277606926123494
2,12,0,47.674,15.202044294944493
2,12,1,65.8275,7.126472721480101
2,13,0,38.53,12.05565781010491
2,13,1,52.8635,6.92323376723864
2,14,0,28.957,9.281085181946423
2,14,1,38.847,4.508809434503377
2,15,0,33.785,10.485373259397534
2,15,1,43.602500000000006,7.385515354394708
2,16,0,46.035,14.389090395192119
2,16,1,61.338,8.285048388512887
2,17,0,62.81,20.172825892944957
2,17,1,87.47200000000001,10.173022815065018
2,18,0,91.173,29.82305182843661
2,18,1,116.5375,13.443457242434576
2,19,0,93.722,28.651862521950775
2,19,1,122.8015,16.46099406830179
2,20,0,74.105,23.78047570726112
2,20,1,98.4985,12.082084436608335
2,21,0,46.753,14.68224287571951
2,21,1,63.5735,6.124778036794478
2,22,0,22.393,6.994699047900996
2,22,1,29.631,3.492600530645705
2,23,0,8.44,2.5615805101735547
2,23,1,11.0005,1.33600749592458
3,0,0,4.465,46.93519381801191
3,0,1,1.7349999999999999,0.9822922087308508
3,1,0,4.508,47.62399719745956
3,1,1,0.6715,0.7942777195876348
3,2,0,4.44,48.663769485027764
3,2,1,0.8065,0.5
3,3,0,4.415,49.82738095885827
3,3,1,0.3955,0.6645877889087841
3,4,0,4.421,0.7466103773425302
3,4,1,0.827,0.8663148749155818
3,5,0,8.821,0.9949561088740844
3,5,1,2.226,0.8730712742955182
3,6,0,20.501,2.1283276777884566
3,6,1,4.0515,0.7732089411450612
3,7,0,69.099,8.775249249215577
3,7,1,14.8325,1.669729993142604
3,8,0,146.909,17.06121514636946
3,8,1,26.951999999999998,3.5682324096345894
3,9,0,161.123,19.040640555284774
3,9,1,32.039,3.0201583450485936
3,10,0,167.114,19.971387159477366
3,10,1,35.0955,4.807356053920559
3,11,0,151.224,20.682201644667987
3,11,1,29.8795,3.643224404631149
3,12,0,152.014,18.603592800121344
3,12,1,28.978499999999997,3.1683236623120856
3,13,0,165.877,18.689416659535887
3,13,1,32.283500000000004,3.995403379197151
3,14,0,174.294,20.53890477128808
3,14,1,34.1725,5.055947975734456
3,15,0,163.809,22.68207158610901
3,15,1,31.912499999999998,5.023257586798962
3,16,0,139.951,16.308480973519153
3,16,1,29.0975,3.5282279068251814
3,17,0,113.445,14.818939970404926
3,17,1,22.274,2.2594557521299983
3,18,0,56.697,5.4817493498283385
3,18,1,11.4725,0.8786555425762704
3,19,0,26.805,3.410702437796636
3,19,1,5.225,0.824120986263546
3,20,0,13.344,1.5864874268507636
3,20,1,2.6550000000000002,0.6695273426082013
3,21,0,8.791,1.0979281636451688
3,21,1,1.422,0.6858142575313911
3,22,0,7.024,0.7257335752342055
3,22,1,1.581,0.7424126407643302
3,23,0,4.09,0.6919380387686094
3,23,1,0.597,0.7954963230587555
